김인철,SCIENCEON,경기대학교 컴퓨터과학과,KCI,경기대학교,,
김일관,KCI,동명대학교,,,,
김일호,KCI,한국건설기술연구원,,,,
김자연,KCI,한국철도기술연구원,,,,
김장권,KCI,군산대학교,,,,
김장목,KCI,부산대학교,,,,
김장영,SCIENCEON,Department of Computer Science; The University of Suwon,KCI,수원대학교,,
김장현,KCI,케이씨대학교,,,,
김재수,SCIENCEON,Dept. of Architectural Engineering; Wonkwang University,KCI,원광대학교,,
김재열,KCI,조선대학교,,,,
김재웅,KCI,공주대학교,,,,
김재철,SCIENCEON,Korea Railroad Research Institute,,,,
김재홍,KCI,유원대학교,,,,
김정,SCIENCEON,부산대학교 항공우주공학과,,,,
김정규,KCI,부경대학교,,,,
김정길,KCI,남서울대학교,,,,
김정빈,KCI,서울시립대학교,,,,
김정수,KCI,홍익대학교,,,,
김정연,KCI,Stony Brook University,,,,
김정엽,SCIENCEON,서울과학기술대학교 기계시스템디자인공학과,,,,
김정욱,KCI,전북은행,,,,
김정중,KCI,환경음향연구소,,,,
김정창,SCIENCEON,Department of Electronics and Communications Engineering; Korea Maritime and Ocean University,KCI,한국해양대학교,,
김정태0,SCIENCEON,목원대학교,,,,
김정태1,SCIENCEON,Department of Mechanical and System Design Engineering; Hongik University,KCI,홍익대학교,,
김정태2,KCI,전라북도립국악원,,,,
김정호,SCIENCEON,공주대학교 조형디자인학부,KCI,공주대학교,,
김정환,KCI,대구대학교,,,,
김조년,KCI,한남대학교,,,,
김종면,SCIENCEON,Dept. of Electrical Engineering; University of Ulsan,,,,
김종무,KCI,단국대학교,,,,
김종민,KCI,한국선급,,,,
김종배,KCI,숭실대학교,,,,
김종범,KCI,경희대 법학전문대학원,,,,
김종성0,SCIENCEON,순천대학교 기계공학과,,,,
김종성1,KCI,전북대학교,KCI,순천대학교,,
김종열,KCI,동명대학교,,,,
김종옥,KCI,홍익대학교,,,,
김종완,KCI,동국대학교,,,,
김종태,SCIENCEON,주식회사 자연과 기술,KCI,주식회사 자연과 기술,,
김종호,KCI,호서대학교,,,,
김종훈,KCI,제주대학교,,,,
김주섭,KCI,서강대학교,,,,
김주연,KCI,홍익대학교,,,,
김주옥,KCI,한국문화예술위원회,,,,
김준교,KCI,중앙대학교,,,,
김준혁,KCI,한림대학교,,,,
김지은,KCI,국민대학교,,,,
김지현,KCI,한성대학교,,,,
김진걸,KCI,인하대학교,,,,
김진곤,KCI,한국항공대학교,,,,
김진숙,KCI,한림대학교 일반대학원 언어병리청각학과 한림대학교 자연과학대학 언어청각학부·청각언어연구소,,,,
김진오,KCI,숭실대학교,,,,
김진택,SCIENCEON,전북대학교 기계항공시스템공학부,KCI,전북대학교,,
김진호,KCI,한국철도기술연구원,,,,
김진환,KCI,한림대학교,,,,
김창성,KCI,협성대학교,,,,
김창용,KCI,한국건설기술연구원,,,,
김창주,KCI,한신대학교,,,,
김창희,KCI,영남대학교,,,,
김철수,KCI,한국교통대학교,,,,
